Datetime,Username,Tweet
2017-06-16 04:23:56+00:00,nitinbhatnagaar,@nnatuTOI @mayurshetty01 Does this mean #India #MH is the only state contributed to this ransom amount collected #wannacryattack 😲
2017-06-15 13:56:01+00:00,ArrowECS_UK,"The man behind the kill switch for WannaCry, #ArrowBandwidth talks with @MalwareTechBlog https://t.co/Fy3fZZFDFA #wannacrypt #wannacryattack https://t.co/227wXxUoXE"
2017-06-15 13:56:01+00:00,ArrowSecurity,"The man behind the kill switch for WannaCry, #ArrowBandwidth talks with @MalwareTechBlog https://t.co/CPPFkQMqCW #wannacrypt #wannacryattack https://t.co/NWQQTLJhtX"
2017-06-14 16:45:23+00:00,MeriTalk,.@HHSGov evaluates #cybersecurity post-#WannaCry. More on @MeriTalk: https://t.co/HlrkcjdUEt #wannacryattack #Ransomware #RansomwareAttack https://t.co/kd0GyQ3Fmq
2017-06-14 13:00:02+00:00,Kihika4,"@TechRepublic Wait, Microsoft already knows the next #wannacryattack ?"
2017-06-14 11:38:32+00:00,coachyawe,Listening to a presentation on the #wannacryattack ransomware by @ParamountGCC there labs where one of first ones to identify it. #AfrSS2017
2017-06-14 09:45:07+00:00,BGRIndia,#WannaCryattack: @Microsoft releases new #WindowsXP security patches https://t.co/wEVLQLT5U8 https://t.co/TY0NChhNVk
2017-06-14 08:53:01+00:00,ArrowECS_UK,"First #ArrowBandwidth from #InfoSec17, @MalwareTechBlog talks about the #wannacryattack https://t.co/Yt3tXDIXGt #ransomware https://t.co/G0kbTtwyno"
2017-06-14 08:53:01+00:00,ArrowSecurity,"First #ArrowBandwidth from #InfoSec17, @MalwareTechBlog talks about the #wannacryattack https://t.co/mbjJlIpmWc #ransomware https://t.co/XvTSoXXFJL"
2017-06-13 13:55:01+00:00,ArrowSecurity,"The man behind the kill switch for WannaCry, #ArrowBandwidth talks with @MalwareTechBlog https://t.co/L7Edr0EZLu #wannacrypt #wannacryattack https://t.co/ZjvWc4UiMP"
2017-06-13 13:55:01+00:00,ArrowECS_UK,"The man behind the kill switch for WannaCry, #ArrowBandwidth talks with @MalwareTechBlog https://t.co/dMTqMoXM8w #wannacrypt #wannacryattack https://t.co/f5LiAtWKQP"
2017-06-13 12:53:28+00:00,EdwardQuinn74,"How #ransomeware works - #Infographic
#wannacryattack #WannaCry #Security #CyberAttack https://t.co/Mj8IBNJK9D #DigitalTransformation #IoT https://t.co/CE4qyfHjds"
2017-06-12 14:55:10+00:00,MeriTalk,.@HHSGov evaluates #cybersecurity post-#WannaCry. More on @MeriTalk: https://t.co/HlrkcjdUEt #wannacryattack #Ransomware #RansomwareAttack https://t.co/mkhKmP8acs
2017-06-12 11:30:02+00:00,ArrowECS_UK,"First #ArrowBandwidth from #InfoSec17, @MalwareTechBlog talks about the #wannacryattack https://t.co/YQcvTCz8wE #ransomware https://t.co/tfOiKyIABs"
2017-06-12 11:30:02+00:00,ArrowSecurity,"First #ArrowBandwidth from #InfoSec17, @MalwareTechBlog talks about the #wannacryattack https://t.co/FEyNJOZpW2 #ransomware https://t.co/gA44V9tmh8"
2017-06-11 13:57:04+00:00,DIYPensionBuild,Interesting article on investing in cyber warfare - personally I'm a fan of SOPHOS  https://t.co/Kw7zfahW0R @masterinvestor #wannacryattack
2017-06-09 16:33:24+00:00,MeriTalk,.@HHSGov evaluates #cybersecurity post-#WannaCry. More on @MeriTalk: https://t.co/HlrkcjdUEt #wannacryattack #Ransomware #RansomwareAttack https://t.co/Tmi3ZdsFXi
2017-06-09 12:40:09+00:00,murali_enright,#WannaCry Open communication systems are at great risk from #wannacryattack @VOICENDATA https://t.co/9m1u18XFF7 #CyberAttack https://t.co/l3jXMgesOY
2017-06-09 10:17:33+00:00,MaddafordIT,"Was the #wannacryattack a silver lining , are more people aware of the vulnerabilities and realise ransomware is not to be paid."
2017-06-09 06:35:39+00:00,PaladionN,"How #Secure Are Electronic Voting Machines? Listen To The Podcast Now-https://t.co/nNQTCN0OYi 
#wannacryattack #cybersecurity #infosec #CISO https://t.co/M922WUr2We"
2017-06-09 06:07:51+00:00,toomanysecrets,Estamos todos pringados:  https://t.co/r4nXfZHzlM  #wannacryattack #linux #unix #security
2017-06-08 10:40:05+00:00,sbidolach,#CyberSecurity in an #IoT and #mobile world with a good example of #wannacryattack #EternalBlue and #Hackers https://t.co/2cskL3M4ZO
2017-06-08 09:39:46+00:00,CSRD_eV,"#Lazarus group linked to #wannacryattack, but also active before: https://t.co/5I4cT2MUX2 #cybercrime #cyberattack #Sony #SWIFT ..."
2017-06-08 08:55:10+00:00,UB_UK,The #wannacryattack left the healthcare and education sectors reeling. Here's how to prepare against #ransomware https://t.co/pWKSvFX7fY https://t.co/izeQDfk3v6
2017-06-08 08:30:21+00:00,Educ_Technology,The #wannacryattack left the healthcare and education sectors reeling. Here's how to prepare against #ransomware https://t.co/OEYUUKUnVO https://t.co/bVNG7xosqz
2017-06-08 01:30:13+00:00,APCatHOME,WannaCry Exploit Could Infect Windows 10. #WannaCry #WannaCryAttack #Malware #Windows10 #CyberSecurity https://t.co/VJ1pSHiu15
2017-06-06 18:02:00+00:00,advizehealth,@FierceHealthIT: Is #healthcare prepared for a wide-scale #cyberattack like #wannacry? https://t.co/LEagx8tFqP @BIDMChealth #wannacryattack
2017-06-06 16:17:43+00:00,Kanishka_Ramyar,"Having a Security incident response plan is a no-brainer these days...
https://t.co/RBORA8rUK7 #security #wannacryattack #WannaCry https://t.co/ouv18cGTzQ"
2017-06-06 15:04:42+00:00,j_j_thompson,FBI Award Presentation – InfraGard To @TGorup #wannacryattack  https://t.co/diSizmQCWA
2017-06-06 13:40:37+00:00,NDimension1,#wannacryattack a wake-up call to be safe (and smart) @networksasia | https://t.co/nz9wwo2Uki
2017-06-06 13:04:19+00:00,NickAEsp,"While everyone was looking at #wannacryattack #wannacry another nasty piece of #malware, #Jaff, was hitting users. https://t.co/1IVfYuGYZE"
2017-06-06 12:14:36+00:00,Malwarebytes,Worried about #ransomware after the #wannacryattack? We can help protect you - come to stand E45 to find out how #infosec17 https://t.co/1Z0fx9wtW6
2017-06-06 10:15:09+00:00,DavidDerigiotis,Payments are still accumulating for the #wannacryattack https://t.co/7BqKMpdc93
2017-06-06 09:27:28+00:00,neupart,#wannacryattack and #GDPR - What's the connection? https://t.co/m10esHV7ci #WannaCry #CyberSecurity #cybersecurite #InfoSec #ITSecurity https://t.co/v8NYAqbtm3
2017-06-06 09:24:42+00:00,consulting_net,We review the #wannacryattack attack and #Ransomware prevention tips https://t.co/cUduVxaazp
2017-06-06 09:03:39+00:00,ChiragBaid,Was #wannacryattack a means to popularise #bitcoin ?
2017-06-05 23:07:52+00:00,ClarenceOniel,"If You Think WannaCry Is Huge, Wait for EternalRocks https://t.co/bM3Rz75Htb #WannaCry #wannacryattack #cyberattack #ITsecurity #CIO #CISO https://t.co/ownEWJIoK0"
2017-06-05 21:06:25+00:00,drivesavers,"There's hope for victims of #WannaCry #ransomware!

https://t.co/D8yruHupqD

#wannacrypt #wannacryattack #Kaspersky #datarecovery https://t.co/ZUqAiBfLOe"
2017-06-05 16:49:01+00:00,ILPublicMedia,"Outside of hackers, who else is liable for #wannacryattack? NSA? #LegalIssues tries to untangle the #ransomeware web https://t.co/maJ72lbIAF"
2017-06-05 16:26:45+00:00,BIMStorm,When #WannaCryAttack #RansomWare Storms into your #BIM &amp; Building Control Systems. Find out on #BIMStorm webinar https://t.co/E4TQz25yhO https://t.co/QgFieKtoRb
2017-06-04 11:15:50+00:00,acharyaprakash,what is status of #wannacryattack . completely removed ?
2017-06-04 01:34:40+00:00,Prepared_city,DRaaS - The ultimate kill switch https://t.co/5UgsXdktQE #draas #dataprotection #wannacryattack #CyberSecurity https://t.co/ARlMEree1S
2017-06-03 11:04:06+00:00,wannacryptRSS,RT PamelaRodzf1: #vulnerability #wannacryattack #wannacrypt #CyberAttack #cybercrime #cybersec #cybersecurite #Infosec #riskmanagement #Ri…
2017-06-03 07:07:07+00:00,wannacryptRSS,RT wannacryptRSS: RT chasewhip8: WannaCry #WannaCry #wannacryattack #RansomwareAttack #wannacrypt 🔫
2017-06-03 01:08:38+00:00,wannacryptRSS,RT chasewhip8: WannaCry #WannaCry #wannacryattack #RansomwareAttack #wannacrypt 🔫
2017-06-02 19:35:09+00:00,ExpertsExchange,"After the #wannacryattack, are you interested in taking a #ransomware prevention course?"
2017-06-02 12:07:06+00:00,InsuranceBizUK,"#wannacryattack - the lessons for #insurance to learn with @RGLForensics #insurancenews

https://t.co/D8zTrzJNvn"
2017-06-02 01:20:48+00:00,savgoust,How related is the #wannacryattack to Metcalfe's law? - interesting view : https://t.co/RODrNy19n3
2017-06-01 13:54:22+00:00,regify,Ausweitung des IT-Sicherheitsgesetzes nach #wannacryattack: ein wichtiger und überfälliger Schritt! https://t.co/lzdaKzHJ0b
2017-06-01 13:35:13+00:00,MeriTalk,#WannaCry Update: @DHSgov is employing #cyber mitigation tools. More on @MeriTalk: https://t.co/MUOInVIhPd #wannacryattack #CyberAttack https://t.co/oHWzK0ZLnv
2017-06-01 03:32:31+00:00,Michellelanious,So what's the update on #wannacryattack?
2017-05-31 20:30:00+00:00,Hakin9,WannaCry II: The Sequel No One Wants to See @IBMSecurity https://t.co/MZn0aVQtUs #infosec #hacking #wannacryattack #cybersecurity #cyber https://t.co/fzBAosQFbE
2017-05-31 18:58:16+00:00,ReactionaryTms,.https://t.co/MZM8uIKD6t #wannacrypt #WannaCry #wannacryattack #ReactionaryTimes
2017-05-31 17:06:05+00:00,Sunaa_5V,#wannacryattack ? 😁 https://t.co/SXCAF6l91w
2017-05-31 15:38:02+00:00,ExchangeLingo,"Find out how machine translations were used when in the wrong hands. #nhscyberattack #WannaCry #wannacryattack 
https://t.co/RB7UOraGa1 https://t.co/6jsbAylqAe"
2017-05-31 15:13:44+00:00,Content_is_Me,#WannaCry #wannacrypt #wannacryattack #CyberSecurity #Ransomware #RansomwareAttack #MSP https://t.co/7u6KhjGmcs
